size,difficulty,puzzle_id,givens,score,level,size_band,ms,note
4,easy,al-sudoku-easy-1,6,40,Easy,Easy,98,
4,easy,al-sudoku-easy-10,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-100,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-101,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-102,8,32,Easy,Easy,0,
4,easy,al-sudoku-easy-103,4,48,Easy,Medium,0,
4,easy,al-sudoku-easy-104,8,32,Easy,Easy,0,
4,easy,al-sudoku-easy-105,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-106,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-107,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-108,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-109,4,48,Easy,Medium,0,
4,easy,al-sudoku-easy-11,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-110,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-111,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-112,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-113,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-114,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-115,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-116,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-117,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-118,4,48,Easy,Medium,0,
4,easy,al-sudoku-easy-119,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-12,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-120,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-121,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-122,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-123,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-124,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-125,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-126,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-127,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-128,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-129,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-13,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-130,4,48,Easy,Medium,0,
4,easy,al-sudoku-easy-131,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-132,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-133,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-134,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-135,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-136,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-137,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-138,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-139,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-14,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-140,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-141,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-142,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-143,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-144,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-145,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-146,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-147,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-148,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-149,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-15,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-150,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-151,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-152,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-153,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-154,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-155,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-156,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-157,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-158,8,32,Easy,Easy,0,
4,easy,al-sudoku-easy-159,7,36,Easy,Easy,0,
4,easy,al-sudoku-easy-16,6,40,Easy,Easy,0,
4,easy,al-sudoku-easy-160,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-161,5,44,Easy,Easy,0,
4,easy,al-sudoku-easy-162,7,36,Easy,Easy,0,
